metric_type,metric
accuracy,0.6763636363636364
AU_ROC,0.497359042891689
f1_score,0.10101010101010101
average_precision_score,0.29351041276967205
f_beta,0.10101010101010101
matthews_correlation_coefficient,-0.009734909169865587
precision,0.2777777777777778
recall,0.06172839506172839
true_positive_rate_TPR,0.06172839506172839
false_positive_rate_FPR,0.06701030927835051
false_discovery_rate,0.7222222222222222
false_negative_rate,0.9382716049382716
negative_predictive_value,0.7042801556420234
misclassification_error_rate,0.3236363636363636
sensitivity,0.06172839506172839
specificity,0.9329896907216495
TP,5.0
FP,13.0
FN,76.0
TN,181.0
